lunch,date,survey_type,work_hard,knowledge,courses,career_amount,career_one,career_two,career_three,career_four,career_five,career_six,career_seven,career_eight,career_nine,career_ten,succesful,important,member,career,identity,meaningful,everyday
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,3,Environmental Engineer,Math Teacher,Researcher,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Strongly agree,Neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,Engineer,Doctor,Chemist,Biologist,Math Teacher,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,4,Doctor,Engineer,Mathematician,Biologist,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Lunch 1,Sep 30th,Pre,Agree,Agree,Agree,5,Doctor,Surgeon,Researcher,Biologist,Environmental Engineer,NA,NA,NA,NA,NA,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Agree,9,Scientist,Mechanical Engineer,Construction Worker,Doctor,Nurse,Astronaut,Chemist,Physicist,Psychologist,NA,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Strongly agree,Agree,10,Mechanical Engineer,Doctor,Chemical Engineer,Biomedical Engineer,Construction Worker,Industrial Engineer,Mathematician,Psychologist,Physicist,Mechanic,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,10,Doctor,Physical Therapist,Psychiatrist,Chemical Engineer,Biologist,Scientist,Environmental Engineer,Astronomer,Mathematician,Aerospace Engineer,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Agree,3,Mechanical Engineer,Software Engineer,Environmentalist,NA,NA,NA,NA,NA,NA,NA,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Strongly agree,Neutral,Neutral,4,Engineer,Math Teacher,Scientist,Mathematician,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Neutral,Agree,Agree,5,Data Scientist,Financial Risk Analyst,Economist,Engineer,Software Developer,NA,NA,NA,NA,NA,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Neutral,Neutral,Disagree,3,Doctor,Scientist,Mathematician,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Strongly agree,Strongly agree,5,Cybersecurity,Metrologist,Chemist,Aerospace Engineer,Astrophysicist,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Lunch 2,Metrologist,Pre,Strongly agree,Strongly agree,Strongly agree,5,Aerospace Engineer,Math Teacher,Chemist,Accountant,Doctor,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral
Lunch 2,Metrologist,Pre,Agree,Strongly agree,Agree,9,Accountant,Bioengineer,Architect,Software Developer,Manufacturer,Chemist,Doctor,Astronomer,Rocket Scientist,NA,Disagree,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Neutral,10,Engineer,Programmer,Scientist,Chemist,Biologist,Software Engineer,Mechanic,Doctor,Nurse,Bioengineer,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,10,Engineer,Programmer,Scientist,Chemist,Biologist,Bioengineer,Civil Engineer,Software Engineer,Chemical Engineer,Doctor,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Strongly agree,Strongly agree,6,Chemical Engineer,Biologist,Bioengineer,Aerospace Engineer,Civil Engineer,Mechanical Engineer,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,6,Pediatrician,Dentist,Psychologist,Gynecologist,Software Engineer,Software Developer,NA,NA,NA,NA,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,3,Math Teacher,Accountant,Artist,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,4,Psychologist,Chemist,Biologist,Astronomer,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Strongly agree,7,Dentist,Neuroscientist,Engineer,Software Developer,Microbiologist,Physicist,Meteorologist,NA,NA,NA,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,8,Engineer,Chemist,Biochemist,Archeologist,Marine Biologist,Architect,Computer Technician,Bioengineer,NA,NA,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,9,Biologist,Chemist,Physicist,Doctor,Physical Therapist,Engineer,Computer Technician,Mathematician,Neuroscientist,NA,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,8,Nueroscientist,Nuerosurgeon,Orthopedic Surgeon,Bioengineer,OB-GYN,Astrophysicist,Astrobiologist,Researcher,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,8,Mathematician,Marine Biologist,Surgeon,Doctor,Structural Engineer,Chemist,Physicist,Programmer,NA,NA,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Neutral,6,Archeologist,Ornithologist,Biologist,Neuroscientist,Biochemist,Anthropologist,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Neutral,Agree,9,Chemist,Biologist,Engineer,Software Developer,Microbiologist,Astronomer,Physicist,Accountant,Astronaut,NA,Neutral,Agree,Neutral,Neutral,Strongly disagree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,4,Doctor,Biologist,Nurse,Physical Therapist,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,7,Biologist,Vet,Chemist,Engineer,Architect,Artist,Bioengineer,NA,NA,NA,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree
Lunch 2,Sep 30th,Pre,Agree,Agree,Disagree,8,Doctor,Bioengineer,Biochemist,Software Engineer,Programmer,Geologist,Surgeon,Chemist,NA,NA,Neutral,Agree,Disagree,NA,Neutral,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,9,Engineer,Artist,Programmer,Architect,Scientist,Mathematician,Physicist,Mechanic,Biologist,NA,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Agree,9,Mathematician,Engineer,Biologist,Doctor,Scientist,Physicist,Psychologist,Mechanic,Accountant,NA,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Agree,5,Programmer,Marine Biologist,Computer Engineer,Mathematician,Computer Technician,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Neutral,7,Architect,Programmer,Chemist,Bioengineer,Psychiatrist,Scientist,Marine Biologist,NA,NA,NA,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Disagree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,3,Mechanical Engineer,Nurse,Industrial Engineer,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,3,Marine Biologist,Scientist,Environmental Engineer,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral
Lunch 1,Oct 14th,Pre,Strongly agree,Strongly agree,Strongly agree,8,Cardiologist,Pulmonologist,Cardiothoracic Surgeon,Biotechnician,Engineer,Scientist,Astrophysicist,Physician,NA,NA,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Lunch 2,Oct 14th,Pre,Agree,Strongly agree,Agree,4,Surgeon,Software Engineer,Architect,Bioengineer,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral
Lunch 2,Oct 14th,Pre,Agree,Agree,Strongly agree,4,Researcher,Pediatric Surgeon,Environmental Engineer,Cardiothoracic Surgeon,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
Lunch 2,Oct 14th,Pre,Strongly agree,Strongly agree,Strongly agree,5,Engineer,Math Teacher,Biochemist,Programmer,Data Analyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lunch 2,Oct 14th,Pre,Strongly agree,Strongly agree,Strongly agree,7,Astronomer,Engineer,Biologist,Chemist,Mathematician,Programmer,Physicist,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Lunch 2,Oct 14th,Pre,Agree,Agree,Disagree,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree
Lunch 2,Oct 14th,Pre,Agree,Agree,Strongly agree,3,Math Teacher,Nurse,Vet,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree
Lunch 2,Oct 14th,Pre,Strongly agree,Agree,Neutral,3,Cardiovascular Surgeon,Bioengineer,Physicist,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree
NA,Oct 14th,Pre,Neutral,Agree,Disagree,2,Product Designer,Civil Engineer,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
NA,Oct 21st,Pre,Agree,Neutral,Agree,8,Biochemist,Mechanical Engineer,Materials Engineer,Chemist,Biologist,Mechanic,Archeologist,Physicist,NA,NA,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
