Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
Lunch 2,Sep 30th,Pre,Strongly agree,Neutral,Neutral,4,Engineer,Math Teacher,Scientist,Mathematician,,,,,,,Agree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Neutral,Agree,Agree,5,Data Scientist,Financial Risk Analyst,Economist,Engineer,Software Developer,,,,,,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Neutral,Neutral,Disagree,3,Doctor,Scientist,Mathematician,,,,,,,,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Strongly agree,Strongly agree,5,Cybersecurity,Metrologist,Chemist,Aerospace Engineer,Astrophysicist,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
Lunch 2,Metrologist,Pre,Strongly agree,Strongly agree,Strongly agree,5,Aerospace Engineer,Math Teacher,Chemist,Accountant,Doctor,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral
Lunch 2,Metrologist,Pre,Agree,Strongly agree,Agree,9,Accountant,Bioengineer,Architect,Software Developer,Manufacturer,Chemist,Doctor,Astronomer,Rocket Scientist,,Disagree,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Neutral,10,Engineer,Programmer,Scientist,Chemist,Biologist,Software Engineer,Mechanic,Doctor,Nurse,Bioengineer,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,10,Engineer,Programmer,Scientist,Chemist,Biologist,Bioengineer,Civil Engineer,Software Engineer,Chemical Engineer,Doctor,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Strongly agree,Strongly agree,6,Chemical Engineer,Biologist,Bioengineer,Aerospace Engineer,Civil Engineer,Mechanical Engineer,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,6,Pediatrician,Dentist,Psychologist,Gynecologist,Software Engineer,Software Developer,,,,,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,3,Math Teacher,Accountant,Artist,,,,,,,,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,4,Psychologist,Chemist,Biologist,Astronomer,,,,,,,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Strongly agree,7,Dentist,Neuroscientist,Engineer,Software Developer,Microbiologist,Physicist,Meteorologist,,,,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,8,Engineer,Chemist,Biochemist,Archeologist,Marine Biologist,Architect,Computer Technician,Bioengineer,,,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Strongly agree,Strongly agree,9,Biologist,Chemist,Physicist,Doctor,Physical Therapist,Engineer,Computer Technician,Mathematician,Neuroscientist,,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,8,Nueroscientist,Nuerosurgeon,Orthopedic Surgeon,Bioengineer,OB-GYN,Astrophysicist,Astrobiologist,Researcher,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,8,Mathematician,Marine Biologist,Surgeon,Doctor,Structural Engineer,Chemist,Physicist,Programmer,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Neutral,6,Archeologist,Ornithologist,Biologist,Neuroscientist,Biochemist,Anthropologist,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Neutral,Agree,9,Chemist,Biologist,Engineer,Software Developer,Microbiologist,Astronomer,Physicist,Accountant,Astronaut,,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,4,Doctor,Biologist,Nurse,Physical Therapist,,,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,7,Biologist,Vet,Chemist,Engineer,Architect,Artist,Bioengineer,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Neutral,0,,,,,,,,,,,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree
Lunch 2,Sep 30th,Pre,Agree,Agree,Disagree,8,Doctor,Bioengineer,Biochemist,Software Engineer,Programmer,Geologist,Surgeon,Chemist,,,Neutral,Agree,Disagree,,Neutral,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,9,Engineer,Artist,Programmer,Architect,Scientist,Mathematician,Physicist,Mechanic,Biologist,,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Agree,9,Mathematician,Engineer,Biologist,Doctor,Scientist,Physicist,Psychologist,Mechanic,Accountant,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral
Lunch 2,Sep 30th,Pre,Strongly agree,Agree,Agree,5,Programmer,Marine Biologist,Computer Engineer,Mathematician,Computer Technician,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
Lunch 2,Sep 30th,Pre,Agree,Agree,Neutral,7,Architect,Programmer,Chemist,Bioengineer,Psychiatrist,Scientist,Marine Biologist,,,,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Disagree
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,3,Mechanical Engineer,Nurse,Industrial Engineer,,,,,,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
Lunch 2,Sep 30th,Pre,Agree,Agree,Agree,3,Marine Biologist,Scientist,Environmental Engineer,,,,,,,,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral
Lunch 1,Oct 14th,Pre,Strongly agree,Strongly agree,Strongly agree,8,Cardiologist,Pulmonologist,Cardiothoracic Surgeon,Biotechnician,Engineer,Scientist,Astrophysicist,Physician,,,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Lunch 2,Oct 14th,Pre,Agree,Strongly agree,Agree,4,Surgeon,Software Engineer,Architect,Bioengineer,,,,,,,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral
Lunch 2,Oct 14th,Pre,Agree,Agree,Strongly agree,4,Researcher,Pediatric Surgeon,Environmental Engineer,Cardiothoracic Surgeon,,,,,,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
Lunch 2,Oct 14th,Pre,Strongly agree,Strongly agree,Strongly agree,5,Engineer,Math Teacher,Biochemist,Programmer,Data Analyst,,,,,,,,,,,,
Lunch 2,Oct 14th,Pre,Strongly agree,Strongly agree,Strongly agree,7,Astronomer,Engineer,Biologist,Chemist,Mathematician,Programmer,Physicist,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
Lunch 2,Oct 14th,Pre,Agree,Agree,Disagree,0,,,,,,,,,,,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree
Lunch 2,Oct 14th,Pre,Agree,Agree,Strongly agree,3,Math Teacher,Nurse,Vet,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree
Lunch 2,Oct 14th,Pre,Strongly agree,Agree,Neutral,3,Cardiovascular Surgeon,Bioengineer,Physicist,,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree
"",Oct 14th,Pre,Neutral,Agree,Disagree,2,Product Designer,Civil Engineer,,,,,,,,,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
"",Oct 21st,Pre,Agree,Neutral,Agree,8,Biochemist,Mechanical Engineer,Materials Engineer,Chemist,Biologist,Mechanic,Archeologist,Physicist,,,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,4,Technician,Programmer,Engineer,Software Developer,,,,,,,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,9,Programmer,Marine Biologist,Aerospace Engineer,Doctor,Statistician,Technician,Physicist,Astronomer,Chemist,,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,0,,,,,,,,,,,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,9,Paramedic,Doctor,Industrial Engineer,Math Teacher,Mechanical Engineer,Astrophysicist,Chemist,Architect,Software Developer,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,10,Biomedical Engineer,Chemist,Biologist,Biochemist,Physicist,Mathematician,Neuroscientist,Aerospace Engineer,Surgeon,Bioengineer,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
"",May 12th,Post,Agree,Agree,Agree,4,Engineer,Anesthesiologist,Nurse,Microbiologist,,,,,,,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,9,Doctor,Nurse,Engineer,Teacher,Researcher,Psychologist,Chemist,Biologist,Physicist,,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,2,Nurse,Doctor,,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,4,Engineer,Teacher,Physicist,Mathematician,,,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree
"",May 12th,Post,Agree,Agree,Agree,5,Mathematician,Doctor,Engineer,Scientist,Civil Engineer,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,0,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Agree,Agree,Agree,3,Software Developer,Physicist,AI Developer,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,2,Astrophysicist,Mathematician,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Strongly agree,Agree,Agree,3,Engineer,Computer Engineer,Doctor,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,5,Architect,Civil Engineer,Electrical Engineer,Computer Scientist,Aerospace Engineer,,,,,,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Neutral
"",May 12th,Post,Agree,Agree,Agree,0,,,,,,,,,,,,,,,,,
"",May 12th,Post,Agree,Agree,Agree,3,Doctor,Nurse,Surgeon,,,,,,,,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral
"",May 12th,Post,Agree,Agree,Agree,3,Engineer,Teacher,Doctor,,,,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
"",May 12th,Post,Strongly agree,Strongly agree,Agree,10,Physicist,Chemist,Biologist,Scientist,Mathematician,Engineer,Astronomer,Technician,Marine Biologist,Epidemiologist,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,3,Engineer,Doctor,Teacher,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Strongly agree,Agree,3,Doctor,Dermatologist,Astronomer,,,,,,,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,1,Doctor,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,3,Biomedical Engineer,Biologist,Mechanical Engineer,,,,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
"",May 12th,Post,Agree,Agree,Agree,2,Biologist,Bioengineer,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,3,Doctor,Vet,Engineer,,,,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
"",May 12th,Post,Agree,Agree,Agree,6,Chemist,Biologist,Engineer,Technician,Civil Engineer,Physicist,,,,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Agree,Strongly agree,2,Biomedical Engineer,Mechanical Engineer,,,,,,,,,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,4,Engineer,Mathematician,Scientist,Biologist,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Agree,Agree,Agree,4,Software Developer,Nurse,Computer Scientist,Engineer,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Neutral,Neutral,2,Nuclear Engineer,Civil Engineer,,,,,,,,,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral
"",May 12th,Post,Agree,Neutral,Agree,4,Biochemical Engineer,Chemical Engineer,Computer Scientist,Pharmacist,,,,,,,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,0,,,,,,,,,,,Neutral,Strongly agree,Strongly Disagree,Disagree,Disagree,Strongly agree,Neutral
"",May 12th,Post,Strongly agree,Agree,Agree,4,Biomedical Engineer,Chemical Engineer,Computer Scientist,Pharmacist,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,9,Aerospace Engineer,Biomedical Engineer,Metrologist,Neuroscientist,Software Engineer,Psychologist,Civil Engineer,Statistician,Accountant,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Agree,Agree,Strongly agree,3,Biomedical Engineer,Mechanical Engineer,Chemical Engineer,,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral
"",May 12th,Post,Strongly agree,Agree,Agree,3,Mechanical Engineer,Biochemical Engineer,Computer Scientist,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
"",May 12th,Post,Agree,Agree,Strongly agree,9,Computer Scientist,Mechanical Engineer,Biologist,Doctor,Orthopedic Surgeon,Neuroscientist,Psychiatrist,Chemical Engineer,Environmental Engineer,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,5,Doctor,Engineer,Computer Scientist,Nurse,Mechanical Engineer,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Agree,Agree,Agree,7,Biomedical Engineer,Orthopedic Surgeon,Nutritionist,Aerospace Engineer,Geneticist,Pediatrician,Nurse,,,,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,10,Scientist,Engineer,Mathematician,Doctor,Data Analyst,Biologist,Chemist,Physicist,Radiologist,Dentist,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral
"",May 12th,Post,Agree,Agree,Agree,3,Doctor,Math Teacher,Mechanical Engineer,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,2,Biologist,Technician,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,0,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"",May 12th,Post,Agree,Agree,Agree,3,Mechanical Engineer,Computer Scientist,Computer Engineer,,,,,,,,,,,,,,
"",May 12th,Post,Strongly agree,Strongly agree,Strongly agree,3,Surgeon,Engineer,Researcher,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
"",May 12th,Post,Agree,Neutral,Neutral,9,Aerospace Engineer,Electrical Engineer,Civil Engineer,Scientist,Biologist,Surgeon,Pediatrician,Neuroscientist,Epidemiologist,,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral
"",May 12th,Post,Agree,Agree,Agree,3,Biologist,Mechanic,Chemist,,,,,,,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
"",May 12th,Post,Agree,Agree,Agree,5,Aerospace Engineer,"Biochemical Engineer ",Architect,Programmer,Chemical Engineer,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree
