RecordedDate,Q1,Q4,Q3,Q5,Q6,Q7,Q2
2022-11-17 20:04:17,Sep 30th,Junior,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:06:34,Sep 30th,,Lunch 1,Fairly,Neutral,Neutral,Discussion
2022-11-17 20:06:46,Sep 30th,Senior,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:06:56,Sep 30th,,Lunch 1,Fairly,Agree,Agree,Discussion
2022-11-17 20:07:10,Sep 30th,Freshman,Lunch 1,Fairly,Agree,Neutral,Discussion
2022-11-17 20:07:22,Sep 30th,,Lunch 1,Fairly,Agree,Neutral,Discussion
2022-11-17 20:07:32,Sep 30th,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2022-11-17 20:08:13,Sep 30th,,Lunch 1,Very,Neutral,Neutral,Discussion
2022-11-18 08:50:52,Sep 30th,Senior,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:51:12,Sep 30th,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2022-11-18 08:51:29,Sep 30th,Sophomore,Lunch 2,Fairly,Agree,Strongly agree,Discussion
2022-11-18 08:51:45,Sep 30th,Junior,Lunch 2,Fairly,Agree,Strongly agree,Discussion
2022-11-18 08:51:58,Sep 30th,Sophomore,Lunch 2,Fairly,Strongly agree,Neutral,Discussion
2022-11-18 08:52:12,Sep 30th,Sophomore,Lunch 2,Somewhat,Neutral,Agree,Discussion
2022-11-18 08:52:22,Sep 30th,Sophomore,Lunch 2,Somewhat,Neutral,Neutral,Discussion
2022-11-18 08:52:34,Sep 30th,Sophomore,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2022-11-18 08:52:46,Sep 30th,,Lunch 2,Very,Agree,Agree,Discussion
2022-11-18 08:52:54,Sep 30th,,Lunch 2,Fairly,Neutral,Neutral,Discussion
2022-11-18 08:53:15,Sep 30th,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2022-11-18 08:53:34,Sep 30th,Senior,Lunch 2,Fairly,Agree,Strongly agree,Discussion
2022-11-18 08:53:54,Sep 30th,Sophomore,Lunch 2,Fairly,Neutral,Strongly agree,Discussion
2022-11-18 08:54:03,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:54:12,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:54:22,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:54:33,Sep 30th,,Lunch 2,Very,Strongly agree,Agree,Discussion
2022-11-18 08:54:44,Sep 30th,,Lunch 2,Somewhat,Strongly agree,Strongly agree,Discussion
2022-11-18 08:54:53,Sep 30th,Sophomroe,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:55:15,Sep 30th,Freshman,Lunch 2,Fairly,Agree,Strongly agree,Discussion
2022-11-18 08:55:23,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:55:30,Sep 30th,,Lunch 2,Very,Strongly agree,Neutral,Discussion
2022-11-18 08:55:38,Sep 30th,Senior,Lunch 2,Fairly,Strongly agree,Strongly agree,Discussion
2022-11-18 08:55:46,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:55:53,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:55:59,Sep 30th,,Lunch 2,Very,Agree,Strongly agree,Discussion
2022-11-18 08:56:12,Sep 30th,Sophomore,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:56:19,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:56:29,Sep 30th,,Lunch 2,Somewhat,Neutral,Neutral,Discussion
2022-11-18 08:56:39,Sep 30th,Junior,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:56:48,Sep 30th,Junior,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-18 08:56:59,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-11-27 17:39:26,Oct 14th,Freshman,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 17:39:38,Oct 14th,,Lunch 1,Fairly,Strongly agree,Strongly agree,Activity
2022-11-27 17:39:52,Oct 14th,,Lunch 1,Very,Agree,Agree,Activity
2022-11-27 17:40:03,Oct 14th,,Lunch 1,Fairly,Strongly agree,Strongly agree,Activity
2022-11-27 17:40:14,Oct 14th,,Lunch 1,Fairly,Agree,Agree,Activity
2022-11-27 17:40:24,Oct 14th,,Lunch 1,Very,Neutral,Neutral,Activity
2022-11-27 17:40:37,Oct 14th,,Lunch 1,Fairly,Agree,Neutral,Activity
2022-11-27 17:41:08,Oct 14th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 17:41:29,Oct 14th,,Lunch 1,Fairly,Strongly agree,Strongly agree,Activity
2022-11-27 17:41:53,Oct 14th,,Lunch 1,Very,Agree,Agree,Activity
2022-11-27 17:44:41,Oct 14th,,Lunch 1,Fairly,Strongly agree,Strongly agree,Activity
2022-11-27 17:44:59,Oct 14th,,Lunch 1,Fairly,Agree,Agree,Activity
2022-11-27 17:45:08,Oct 14th,,Lunch 1,Very,Agree,Agree,Activity
2022-11-27 17:45:17,Oct 14th,,Lunch 1,Very,Agree,Agree,Activity
2022-11-27 17:45:25,Oct 14th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 17:45:34,Oct 14th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 17:45:46,Oct 14th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:03:44,Oct 14th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:04:18,Oct 14th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:04:28,Oct 14th,,Lunch 1,Very,Agree,Agree,Activity
2022-11-27 18:05:05,Oct 14th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:06:17,Oct 14th,,Lunch 2,Fairly,Agree,Agree,Activity
2022-11-27 18:06:28,Oct 14th,,Lunch 2,Fairly,Agree,Agree,Activity
2022-11-27 18:06:40,Oct 14th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:06:51,Oct 14th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:06:59,Oct 14th,,Lunch 2,Fairly,Agree,Agree,Activity
2022-11-27 18:07:08,Oct 14th,,Lunch 2,Fairly,Agree,Agree,Activity
2022-11-27 18:07:17,Oct 14th,,Lunch 2,Fairly,Strongly agree,Agree,Activity
2022-11-27 18:07:30,Oct 14th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-11-27 18:16:07,Sep 30th,,Lunch 2,Fairly,Agree,Agree,Discussion
2022-12-22 14:49:56,Oct 28th,Sophomore,Lunch 2,Fairly,Agree,Agree,Activity
2022-12-22 14:50:41,Oct 28th,,Lunch 2,Very,Agree,Agree,Activity
2022-12-22 14:50:58,Oct 28th,,Lunch 2,Very,Agree,Agree,Activity
2022-12-22 14:51:10,Oct 28th,,Lunch 2,Fairly,Agree,Neutral,Activity
2022-12-22 14:51:22,Oct 28th,,Lunch 2,Somewhat,Strongly agree,Agree,Activity
2022-12-22 14:51:34,Oct 28th,,Lunch 2,Fairly,Agree,Agree,Activity
2022-12-22 14:51:44,Oct 28th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-12-22 14:51:53,Oct 28th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2022-12-22 14:52:09,Oct 28th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-12-22 14:52:17,Oct 28th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2022-12-22 14:52:33,Oct 28th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-12-22 14:52:43,Oct 28th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-12-22 14:52:58,Oct 28th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2022-12-22 14:53:09,Oct 28th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-12-22 14:53:18,Oct 28th,,Lunch 2,Fairly,Agree,Agree,Activity
2022-12-22 14:53:27,Oct 28th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2022-12-22 14:53:36,Oct 28th,,Lunch 2,Fairly,Neutral,Agree,Activity
2022-12-22 14:53:47,Oct 28th,,Lunch 2,Fairly,Neutral,Agree,Activity
2023-06-14 12:10:07,Nov 18th,,Lunch 2,Very,Strongly Disagree,Strongly Disagree,Activity
2023-06-14 12:10:22,Nov 18th,,Lunch 2,Fairly,Neutral,Neutral,Activity
2023-06-14 12:10:33,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:11:32,Nov 18th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-14 12:11:42,Nov 18th,,Lunch 2,Fairly,Neutral,Agree,Activity
2023-06-14 12:11:53,Nov 18th,,Lunch 2,Fairly,Agree,Neutral,Activity
2023-06-14 12:12:45,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:12:59,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:13:12,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:13:23,Nov 18th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-14 12:13:32,Nov 18th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-14 12:13:41,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:13:52,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:14:02,Nov 18th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2023-06-14 12:14:15,Nov 18th,,Lunch 2,Fairly,Agree,Strongly agree,Activity
2023-06-14 12:17:48,Nov 18th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-14 12:17:59,Nov 18th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-14 12:18:08,Nov 18th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-14 12:18:19,Nov 18th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-14 12:18:30,Nov 18th,,Lunch 2,Fairly,Strongly agree,Neutral,Activity
2023-06-14 12:18:40,Nov 18th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-14 12:50:22,Dec 2nd,,Lunch 1,Somewhat,Agree,Agree,Discussion
2023-06-14 12:50:34,Dec 2nd,,Lunch 1,Somewhat,Agree,Agree,Discussion
2023-06-14 12:50:43,Dec 2nd,,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
2023-06-14 12:50:55,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:51:06,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:51:17,Dec 2nd,,Lunch 1,Fairly,Agree,Agree,Discussion
2023-06-14 12:51:29,Dec 2nd,,Lunch 1,Fairly,Agree,Neutral,Discussion
2023-06-14 12:51:41,Dec 2nd,,Lunch 1,Fairly,Strongly Disagree,Strongly Disagree,Discussion
2023-06-14 12:51:52,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:52:06,Dec 2nd,,Lunch 1,Fairly,Strongly agree,Strongly agree,Discussion
2023-06-14 12:52:18,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:52:27,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:52:41,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:52:52,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:53:01,Dec 2nd,,Lunch 1,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:53:14,Dec 2nd,,Lunch 1,Fairly,Agree,Agree,Discussion
2023-06-14 12:55:02,Dec 2nd,,Lunch 1,Very,Agree,Agree,Discussion
2023-06-14 12:55:12,Dec 2nd,,Lunch 1,Very,Agree,Agree,Discussion
2023-06-14 12:55:22,Dec 2nd,,Lunch 1,Very,Strongly agree,Agree,Discussion
2023-06-14 12:55:31,Dec 2nd,,Lunch 1,Fairly,Agree,Agree,Discussion
2023-06-14 12:55:42,Dec 2nd,,Lunch 1,Fairly,Agree,Agree,Discussion
2023-06-14 12:55:51,Dec 2nd,,Lunch 1,Very,Neutral,Agree,Discussion
2023-06-14 12:56:40,Dec 2nd,,Lunch 2,Fairly,Agree,Strongly agree,Discussion
2023-06-14 12:56:49,Dec 2nd,,Lunch 2,Fairly,Strongly agree,Strongly agree,Discussion
2023-06-14 12:57:09,Dec 2nd,Sophomore,Lunch 2,Very,Strongly agree,Neutral,Discussion
2023-06-14 12:57:23,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:57:35,Dec 2nd,,Lunch 2,Very,Agree,Agree,Discussion
2023-06-14 12:57:44,Dec 2nd,,Lunch 2,Fairly,Agree,Agree,Discussion
2023-06-14 12:58:43,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 12:58:52,Dec 2nd,,Lunch 2,Fairly,Agree,Agree,Discussion
2023-06-14 12:59:01,Dec 2nd,,Lunch 2,Very,Strongly agree,Agree,Discussion
2023-06-14 13:00:23,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:00:32,Dec 2nd,,Lunch 2,Very,Agree,Agree,Discussion
2023-06-14 13:00:42,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:00:53,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:01:04,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:01:14,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:01:24,Dec 2nd,,Lunch 2,Very,Strongly agree,Agree,Discussion
2023-06-14 13:02:27,Dec 2nd,,Lunch 2,Very,Strongly agree,Agree,Discussion
2023-06-14 13:02:35,Dec 2nd,,Lunch 2,Fairly,Agree,Agree,Discussion
2023-06-14 13:02:45,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:02:55,Dec 2nd,,Lunch 2,Very,Strongly agree,Strongly agree,Discussion
2023-06-14 13:03:06,Dec 2nd,,Lunch 2,Fairly,Strongly agree,Neutral,Discussion
2023-06-16 13:40:18,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:40:30,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:40:41,Dec 16th,,Lunch 1,Very,Agree,Neutral,Activity
2023-06-16 13:40:53,Dec 16th,,Lunch 1,Very,Strongly agree,Agree,Activity
2023-06-16 13:41:05,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:41:16,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:41:27,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:41:38,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:41:52,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:42:05,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:42:28,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:42:37,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:42:49,Dec 16th,,Lunch 1,Very,Strongly agree,Neutral,Activity
2023-06-16 13:42:58,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:43:14,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:43:25,Dec 16th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 13:43:49,Dec 16th,,Lunch 1,Very,Agree,Agree,Activity
2023-06-16 14:45:49,Dec 16th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-16 14:45:58,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:46:10,Dec 16th,,Lunch 2,Very,Strongly agree,Agree,Activity
2023-06-16 14:46:21,Dec 16th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-16 14:47:09,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:47:18,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:47:28,Dec 16th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-16 14:47:43,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:47:54,Dec 16th,,Lunch 2,Somewhat,Neutral,Agree,Activity
2023-06-16 14:48:04,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:48:15,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:50:48,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:52:31,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:52:40,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:52:50,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:53:00,Dec 16th,,Lunch 2,Fairly,Disagree,Strongly agree,Activity
2023-06-16 14:53:09,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:53:17,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:53:25,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:53:33,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:53:42,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:53:53,Dec 16th,Sophomore,Lunch 2,Very,Agree,Neutral,Activity
2023-06-16 14:54:04,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 14:54:13,Dec 16th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:23:09,Jan 27th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:23:26,Jan 27th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:23:46,Jan 27th,,Lunch 1,Very,Agree,Agree,Activity
2023-06-16 18:23:59,Jan 27th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:24:10,Jan 27th,,Lunch 1,Fairly,Agree,Agree,Activity
2023-06-16 18:24:20,Jan 27th,,Lunch 1,Very,Agree,Agree,Activity
2023-06-16 18:24:30,Jan 27th,,Lunch 1,Very,Strongly agree,Agree,Activity
2023-06-16 18:24:38,Jan 27th,,Lunch 1,Fairly,Agree,Agree,Activity
2023-06-16 18:24:47,Jan 27th,,Lunch 1,Fairly,Agree,Agree,Activity
2023-06-16 18:24:56,Jan 27th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:25:06,Jan 27th,,Lunch 1,Fairly,Agree,Agree,Activity
2023-06-16 18:25:15,Jan 27th,,Lunch 1,Somewhat,Agree,Agree,Activity
2023-06-16 18:25:24,Jan 27th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:25:32,Jan 27th,,Lunch 1,Fairly,Strongly agree,Strongly agree,Activity
2023-06-16 18:26:24,Jan 27th,,Lunch 1,Very,Agree,Strongly agree,Activity
2023-06-16 18:26:34,Jan 27th,,Lunch 1,Fairly,Agree,Strongly agree,Activity
2023-06-16 18:26:46,Jan 27th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:44:18,Jan 27th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2023-06-16 18:44:31,Jan 27th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2023-06-16 18:44:42,Jan 27th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-16 18:44:54,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:04,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:13,Jan 27th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:22,Jan 27th,,Lunch 2,Somewhat,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:31,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:39,Jan 27th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:49,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:45:57,Jan 27th,,Lunch 2,Fairly,Strongly agree,Strongly agree,Activity
2023-06-16 18:46:05,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:46:20,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:46:28,Jan 27th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-16 18:46:38,Jan 27th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-16 18:46:46,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:46:53,Jan 27th,,Lunch 2,Somewhat,Strongly agree,Strongly agree,Activity
2023-06-16 18:47:02,Jan 27th,,Lunch 2,Fairly,Agree,Agree,Activity
2023-06-16 18:47:10,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:47:18,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:47:26,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 18:47:34,Jan 27th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:01:45,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:02:03,Feb 10th,,Lunch 1,Very,Agree,Agree,Activity
2023-06-16 19:02:13,Feb 10th,,Lunch 1,Very,Agree,Agree,Activity
2023-06-16 19:02:25,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:02:37,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:02:50,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:02:59,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:03:09,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:03:22,Feb 10th,,Lunch 1,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:21:13,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:21:25,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:21:35,Feb 10th,,Lunch 2,Somewhat,Strongly agree,Strongly agree,Activity
2023-06-16 19:21:50,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:22:04,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:22:15,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:22:24,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:22:33,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:22:43,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:22:52,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:23:01,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:23:11,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 19:23:20,Feb 10th,,Lunch 2,Fairly,Agree,Neutral,Activity
2023-06-16 19:23:30,Feb 10th,,Lunch 2,Very,Agree,Agree,Activity
2023-06-16 19:23:50,Feb 10th,,Lunch 2,Very,Strongly agree,Strongly agree,Activity
2023-06-16 20:56:38,Mar 3rd,,Lunch 1,Very,Agree,Strongly agree,Guest Speaker
2023-06-16 20:56:48,Mar 3rd,,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
2023-06-16 20:56:58,Mar 3rd,,Lunch 1,Very,Strongly agree,Strongly agree,Guest Speaker
2023-06-16 20:57:10,Mar 3rd,,Lunch 1,Fairly,Neutral,Agree,Guest Speaker
